id,captured_at,compass_angle,creator_id,is_pano,sequence_id,lon,lat,organization_id,svf,gvi,svf_percent,gvi_percent,lst,ndvi,ndbi,lst_norm,gvi_norm,ndvi_norm,svf_norm,priority_score,priority_level,shade,temp_comfort,veg_comfort,pci,comfort_level,seg_lat,seg_lon,segment_id
862401224315084,1613727658500,204.493521621,104723918435539,False,d6pbfqyf2ifjmfjwl025zt,55.299339294433594,25.24668529081562,,0.4758173624674479,0.027448018391927,47.58173624674479,2.7448018391927,50.203200200000026,0.0300596747547388,0.0895503684878349,0.5870260392873488,0.9577602042937898,0.8762006519887515,0.6488289791042084,0.7468149440517686,High,0.5241826375325521,0.41297396071265124,0.04223979570621014,0.3592134563480063,Moderate,25.2465,55.2995,25.2465_55.2995
1652854938235535,1496322169000,55.071454029347,111480967750226,False,wEGgAzW5CIJ6tC0jp2VEVQ,55.30357718467712,25.245972043566056,1805883732926354.0,0.0390828450520833,0.0095960828993055,3.90828450520833,0.95960828993055,48.92486072000003,0.0340371504426002,0.1917267143726349,0.4161717679305647,0.9852328921481098,0.8693604686733725,0.0532841817245486,0.5946416512026101,Medium,0.9609171549479167,0.5838282320694352,0.01476710785189018,0.5735440740225175,Comfortable,25.246000000000002,55.3035,25.246000000000002_55.3035
212693024603372,1676372245510,212.2966721057892,106609934906640,False,bA3hLdalrkNnqY5w48iv6o,55.30259013175965,25.25218734314649,,0.0891621907552083,0.017401377360026,8.91621907552083,1.7401377360026,50.50398596000002,0.0835988447070121,0.151643306016922,0.627227044312474,0.9732211739554772,0.7841277480249585,0.1215739380876995,0.6692577515320055,High,0.9108378092447917,0.372772955687526,0.026778826044522877,0.47459712202181825,Comfortable,25.252,55.3025,25.252_55.3025
304159287870583,1496322738000,295.49705837104,111480967750226,False,YkxxoJQOF-ALMZRS-MSvxg,55.304784178733826,25.250338797805057,1805883732926354.0,0.2793206108940972,0.0727250840928819,27.93206108940972,7.27250840928819,50.75179241000001,0.020468097180128,0.1811012923717498,0.6603471904979448,0.8880824545911883,0.8926955734019086,0.3808798854670414,0.7218305873474129,High,0.7206793891059028,0.33965280950205523,0.11191754540881176,0.41607829634009097,Moderate,25.2505,55.305,25.2505_55.305
1361339874632893,1676372409803,211.24024868011475,106609934906640,False,4D8x3iRjBQWsmopULgTIKN,55.3007447719574,25.249101566705576,,0.3128547668457031,0.045806884765625,31.285476684570312,4.5806884765625,49.02911033000001,0.0440956093370914,0.1558589488267898,0.4301050708085888,0.9295073907289952,0.8520626375594083,0.4266081055071881,0.6388226193436443,High,0.6871452331542969,0.5698949291914112,0.07049260927100481,0.48608195559831957,Comfortable,25.249,55.3005,25.249_55.3005
1610925266308154,1716707828834,209.292,104723918435539,False,IzD18e9xfdctWqKYyuioEX,55.30224680900574,25.246869666974604,,0.2160110473632812,0.00213623046875,21.60110473632812,0.213623046875,48.70098041000003,0.3245809674263,-0.1181320548057556,0.3862494289629998,0.9967130029377016,0.3697036196362843,0.2945489917966981,0.5218010950163869,Medium,0.7839889526367188,0.6137505710370001,0.003286997062298354,0.5207181111032261,Comfortable,25.247,55.302,25.247_55.302
1251697758634790,1496322360000,207.0772666985,111480967750226,False,tkHOFVEVKOB2fnxkHrZRUg,55.303823947906494,25.24678718293808,1805883732926354.0,0.2459259033203125,0.0166710747612847,24.59259033203125,1.66710747612847,50.085278509999995,0.0116190146654844,0.0531786121428012,0.571265417999085,0.9743450507106172,0.9079136039628,0.3353418215803537,0.7039764239069014,High,0.7540740966796875,0.42873458200091497,0.02565494928938274,0.4418335039606023,Moderate,25.247,55.304,25.247_55.304
295114725450817,1496322312000,198.0878369075,111480967750226,False,tkHOFVEVKOB2fnxkHrZRUg,55.30416190624237,25.24745675761696,1805883732926354.0,0.3856302897135417,0.0514984130859375,38.56302897135417,5.14984130859375,49.81183691000004,0.0205802638083696,0.123880848288536,0.5347190497944313,0.9207485880197542,0.8925026771130936,0.525847076305792,0.7014523637911986,High,0.6143697102864583,0.4652809502055687,0.07925141198024573,0.4209546316775493,Moderate,25.247500000000002,55.304,25.247500000000002_55.304
768651310510125,1496322342000,95.657986103007,111480967750226,False,tkHOFVEVKOB2fnxkHrZRUg,55.30351281166077,25.24702978288566,1805883732926354.0,0.1653662787543403,0.00018310546875,16.53662787543403,0.018310546875,49.230773510000006,0.007902018725872,0.0158910155296325,0.457058017359525,0.999718704671704,0.9143058325028918,0.2254882071395833,0.6494372806832519,High,0.8346337212456597,0.542941982640475,0.0002812953282961086,0.509368919324245,Comfortable,25.247,55.3035,25.247_55.3035
1467731673878162,1716707816588,209.61,104723918435539,False,IzD18e9xfdctWqKYyuioEX,55.30270278453827,25.247655688513447,,0.244238535563151,0.0028127034505208,24.423853556315105,0.28127034505208,49.010311220000034,0.1469186395406723,0.007909539155662,0.4275925079945218,0.9956719656183728,0.6752348123682465,0.3330408743252779,0.604958088224843,High,0.755761464436849,0.5724074920054781,0.004328034381627205,0.49456151795049524,Comfortable,25.247500000000002,55.3025,25.247500000000002_55.3025
