segment_id,lat,lon,pci_mean,pci_std,point_count,lst_mean,gvi_mean,svf_mean,shade_mean,rank
25.247500000000002_55.3065,25.247436309891377,55.30669237886156,0.4568873700918213,0.055519118642303945,14,49.77277382428573,0.06104218013702873,0.2929502214704241,0.7070497785295758,160
25.2435_55.300000000000004,25.243396797949245,55.3001506626606,0.4561382883218828,0.01533590855311908,10,49.83448129250002,0.00177018907335064,0.21766620212131074,0.7823337978786893,161
25.2405_55.3025,25.240494294442282,55.302693486213684,0.4558079889898049,0.047851171693345226,8,49.711574990000024,0.0030129750569661126,0.2248192681206597,0.7751807318793402,162
25.25_55.312,25.25005944215303,55.312090412928505,0.45352683377222985,0.03690120976538656,46,49.597093230384644,0.006761099405334727,0.2722487082848182,0.7277512917151818,163
25.240000000000002_55.3025,25.24003762709052,55.3025392975126,0.4529608450562806,0.03984249709489269,16,50.446286527142874,0.0059816572401258285,0.1213340153769841,0.878665984623016,164
25.2495_55.31,25.249331223609136,55.31021296977997,0.4523621833092017,0.006493437853205365,3,49.813545920000024,0.0053682680483217,0.23763925057870372,0.7623607494212963,165
25.248_55.304,25.24787857560994,55.30403885990381,0.45223654861558543,0.037998129585613695,16,50.145841551875016,0.009152730305989544,0.1847681469387478,0.8152318530612522,166
25.248_55.313,25.247900227477356,55.31289678812027,0.45007376714370523,0.033072705706157966,8,50.19431334800002,0.023342556423611077,0.16834682888454858,0.8316531711154515,167
25.2395_55.2965,25.239417153826295,55.2963840007782,0.44973750044194555,0.037682517451763084,148,47.882524127600036,0.004395610935337144,0.5776599573206018,0.4223400426793981,168
25.241500000000002_55.301,25.2415938105423,55.30100727081299,0.4491214247370834,0.040304710040802175,11,49.28614543400003,0.0013910158716066545,0.30548717357494215,0.6945128264250578,169
25.239_55.298,25.238795669907415,55.29779863357544,0.44890644750414843,0.08256474173952731,4,49.59137462000001,0.003135893079969575,0.29901869032118056,0.7009813096788194,170
25.2505_55.312,25.250426559329725,55.311909072539386,0.44838213944238964,0.03620803139182908,32,49.27867605500001,0.010114974445766818,0.33583353080001527,0.6641664691999847,171
25.2395_55.295500000000004,25.239720842618627,55.295671820640564,0.44755910510336006,0.00599309459891592,3,48.58989475999999,0.02128134833441837,0.4801885816786024,0.5198114183213977,172
