shade_08,shade_10,shade_12,shade_14,shade_16,shade_avg,length,mid_lat,mid_lon
0.9356,0.2157,0.0,0.0,0.8625,0.40275999999999995,33.187,25.23703398256044,55.303858636161344
1.0,0.3409,0.0,0.0,0.0423,0.27664,31.811,25.237068023734754,55.303870737579985
0.0,0.0,0.0,0.0,0.0,0.0,2.37,25.242695,55.30420325
0.0,0.0,0.0,0.0,0.0,0.0,24.312,25.242813466807387,55.30420619269372
0.8668,0.5855,0.0,0.0,0.0,0.29046000000000005,45.855,25.2445591,55.3047677
0.6733,0.9295,0.5618,0.0,0.0,0.43292,15.858,25.24479945806803,55.30489773957849
0.3062,0.5134,0.0,0.0,0.0,0.16392,17.209,25.244829852438706,55.30486089305983
0.0,0.0,0.0,0.0,0.0,0.0,7.672,25.24493675,55.30489735
0.0,0.0,0.0,0.0,0.0,0.0,8.149,25.24496065,55.3049471
0.0,0.0,0.0,0.0,0.0,0.0,10.429,25.2449818,55.30485775
0.5671,0.0,0.0,0.0,0.0,0.11342,12.2,25.24502367490672,55.3049189160028
0.0,0.0,0.0,0.0,0.089,0.0178,74.16,25.24352365937356,55.30607440720556
0.8172,0.0,0.0,0.0,0.0,0.16344,50.493,25.243934862256516,55.30589472891652
0.6541,0.0336,0.0,0.6039,0.6132,0.38095999999999997,46.036,25.24397935131908,55.306255590671014
1.0,0.0,0.0,0.0,0.0,0.2,9.045,25.2385633,55.3008545
1.0,0.0,0.0,0.0,0.4239,0.28478,37.662,25.23865914199976,55.300648003689716
0.9642,0.0366,0.0,0.0,0.4228,0.28472,37.831,25.238685843187582,55.30066532042627
0.8884,0.5888,0.0,0.0,0.9287,0.48118,32.646,25.2391347,55.30073905
0.3135,0.0,0.0,0.0,1.0,0.2627,33.489,25.239376252511683,55.300927442063355
0.3189,0.0,0.0,0.471,1.0,0.35798,33.401,25.239401058687484,55.30088196416663
1.0,0.0,0.0,0.0,1.0,0.4,3.038,25.24065415,55.29681645000001
1.0,0.0,0.0,0.0,0.8074,0.36147999999999997,13.043,25.240582266207234,55.29680937435398
1.0,0.4113,0.0,0.0,0.1428,0.31082,28.276,25.24059474104664,55.296944426020744
1.0,0.8,0.0,0.0,0.0,0.36,28.923,25.23932955,55.2997592
1.0,1.0,0.0,0.0,0.0,0.4,7.416,25.239187,55.2996709
0.6752,0.1919,0.0,0.0,0.0,0.17342,31.75,25.239278775759924,55.29954689808571
0.0,0.0,0.0,0.0,0.0,0.0,35.788,25.24250725,55.2988343
0.5523,0.0,0.0,0.0,0.0,0.11046,54.609,25.2421481,55.29862385
0.0,0.0,0.0,0.0,0.0,0.0,75.763,25.24251977701238,55.298414521616394
0.0937,0.0031,0.0,0.0,0.0,0.019360000000000002,137.416,25.24159476718584,55.31060870662737
0.0,0.0,0.0,0.0,0.0,0.0,17.299,25.241265827035257,55.31003938417705
0.0,0.0,0.0,0.0,0.0,0.0,30.772,25.24110601579599,55.31017730721144
0.0,0.0,0.0,0.0,0.7578,0.15156,37.485,25.240955645024773,55.30951217018789
0.0,0.0,0.0,0.0,0.4606,0.09212000000000001,24.12,25.240978480531837,55.30964037684117
0.0,0.0,0.0,0.0,1.0,0.2,7.42,25.241117097187388,55.309640117321955
