id,start_x,start_y,end_x,end_y,length,wkt
55,328750.49108664214,2793356.054810893,328726.9185538284,2793370.644070073,27.72202710272414,"LINESTRING (328750.49108664214 2793356.054810893, 328726.9185538284 2793370.644070073)"
56,328750.49108664214,2793356.054810893,328761.3376076771,2793349.337079898,12.758327801095446,"LINESTRING (328750.49108664214 2793356.054810893, 328761.3376076771 2793349.337079898)"
57,328726.9185538284,2793370.644070073,328717.93045717385,2793376.1307807257,10.5304261669579,"LINESTRING (328726.9185538284 2793370.644070073, 328717.93045717385 2793376.1307807257)"
58,328721.389079139,2793359.6470408197,328726.9185538284,2793370.644070073,12.308931065495388,"LINESTRING (328721.389079139 2793359.6470408197, 328723.7766650015 2793364.402557516, 328726.9185538284 2793370.644070073)"
59,327794.9463970752,2793864.6888933037,327807.5934032063,2793857.0168368537,14.792133526080573,"LINESTRING (327794.9463970752 2793864.6888933037, 327807.5934032063 2793857.0168368537)"
60,327794.9463970752,2793864.6888933037,327782.7747755946,2793851.9378068987,17.627778475329364,"LINESTRING (327794.9463970752 2793864.6888933037, 327782.7747755946 2793851.9378068987)"
61,327828.6968887304,2791626.4244862804,327871.5604520753,2791699.9589228313,85.11520675817293,"LINESTRING (327828.6968887304 2791626.4244862804, 327871.5604520753 2791699.9589228313)"
62,330000.23993070563,2793780.708644683,329880.7833662274,2793920.875038938,184.21621258802887,"LINESTRING (330000.23993070563 2793780.708644683, 329961.5726900425 2793823.1584874997, 329926.8766864943 2793864.129443312, 329880.7833662274 2793920.875038938)"
63,328088.30400922487,2792655.619045699,328085.49391313514,2792674.7313336786,19.7766235342926,"LINESTRING (328088.30400922487 2792655.619045699, 328088.9686561306 2792657.9702472137, 328089.160804798 2792660.4049995556, 328089.07101911376 2792662.8544124197, 328088.69859552634 2792665.263103993, 328088.0636823921 2792667.630818293, 328085.49391313514 2792674.7313336786)"
64,327922.5390291135,2792772.1637744927,328085.49391313514,2792674.7313336786,189.99567811260184,"LINESTRING (327922.5390291135 2792772.1637744927, 327945.9335776338 2792760.1898490954, 327974.8780724307 2792744.112946174, 328003.4313698951 2792727.37639396, 328031.6446882511 2792710.0460081296, 328059.66646701447 2792691.909415325, 328085.49391313514 2792674.7313336786)"
